Company Name,GICS Sector Name,Year,ESG,E,S,G
3I Infrastructure PLC,Consumer Discretionary,2014,25.8980972902281,0.0,56.8219328809829,8.22843822843823
3I Infrastructure PLC,Consumer Discretionary,2015,30.6283734257346,0.0,54.9571603427172,18.7777777777778
3I Infrastructure PLC,Consumer Discretionary,2016,29.85966587912,12.280701754386,61.87552213868,9.71929824561404
3I Infrastructure PLC,Consumer Discretionary,2017,32.2794378496384,10.0,57.8589330469029,17.8349206349206
3M Co,Industrials,2004,54.6897034991625,34.9173553719008,58.5985494880546,77.3264147816721
3M Co,Industrials,2005,35.1640375796906,54.0638528138528,75.4829129914454,67.18022635063
3M Co,Industrials,2006,56.6995585167784,49.1666666666667,68.7713310580205,48.0976368159204
3M Co,Industrials,2007,74.2188744155248,68.7091503267974,74.3467340395668,82.0916760243011
3M Co,Industrials,2008,66.3229881200235,70.5456823877877,80.5629145219589,83.3116132422491
3M Co,Industrials,2009,72.364398332351,77.4638429752066,78.5412965873717,78.1596409055425
3M Co,Industrials,2010,78.0333853624803,84.8680254930255,88.3639868537479,87.2351456828461
3M Co,Industrials,2011,53.7684677638887,85.2184094640991,89.6148982162039,84.1429418968636
3M Co,Industrials,2012,86.0433649256556,85.3019217091225,91.308626004624,78.5601399980282
3M Co,Industrials,2013,88.2281958855096,85.3019217091225,92.1952890681559,86.0625185524587
3M Co,Industrials,2014,73.3317739786573,84.1969060351413,95.7721843003413,89.1026017662795
3M Co,Industrials,2015,86.5140768249316,83.3760997067449,95.6302184117884,76.2773905707777
3M Co,Industrials,2016,78.6795790980803,85.9602179158631,95.1474577754441,79.8828889416697
3M Co,Industrials,2017,89.0530940813112,89.8672351922125,98.1408977106386,73.0660956553624
3M Co,Industrials,2018,54.4094095893018,91.639218269653,97.9250771981147,66.447232365157
3M Co,Industrials,2019,72.432005457816,90.482374768089,96.37259498181,78.3625487576389
3M Co,Industrials,2020,54.2173468766255,90.9473817428363,97.553482884557,90.3782779492338
3M Co,Industrials,2021,49.8289219256599,92.7381152691835,94.77084349098,76.8172852472284
3M Co,Industrials,2022,58.1738033365147,90.6077162299909,94.2823381341767,87.6556886666185
3M Co,Industrials,2023,51.3458444958908,89.0736914600551,92.6145258987597,83.2348008508441
3i Group PLC,Financials,2004,56.3345714535042,34.4122023809524,42.0693779904306,82.9001538774207
3i Group PLC,Financials,2005,20.9075620500491,42.7407407407407,29.0268941584731,27.2338247338247
3i Group PLC,Financials,2006,53.3366043858272,55.5907515702837,41.8522267206478,70.3626651126651
3i Group PLC,Financials,2007,53.6583966390073,78.7422285987566,48.4973463069438,53.0459335624284
3i Group PLC,Financials,2008,49.4229946653095,73.9744668911335,45.5957309002844,49.7206297206297
3i Group PLC,Financials,2010,60.8595793763772,66.7432221958238,44.5006747638327,78.4504255808604
3i Group PLC,Financials,2011,62.5072073853869,62.5251168947424,45.0469485373281,82.5193473193474
3i Group PLC,Financials,2012,56.8756324717011,66.551579828416,30.8486334942851,80.9976954237701
3i Group PLC,Financials,2013,45.1127209035102,72.2901234567901,32.4833830392911,52.8909410006445
3i Group PLC,Financials,2014,57.7094185639698,58.3118012531483,52.8413587797244,76.2536011758942
3i Group PLC,Financials,2015,53.5688268842022,59.6635141221129,51.3843335212422,58.4673833419652
3i Group PLC,Financials,2016,66.0307425003737,78.7436726280407,73.5672281261814,56.8092123419992
3i Group PLC,Financials,2017,66.8138578680533,84.6475290697675,73.9461909626788,61.8953719715141
3i Group PLC,Financials,2018,73.0877587149457,85.4357744606707,77.8564366179783,66.4213430602319
3i Group PLC,Financials,2019,64.1546830168734,89.5425754800755,65.2779994503361,56.8481139959489
3i Group PLC,Financials,2020,73.3751016337953,85.753001818918,65.4651304748888,77.8074661747907
3i Group PLC,Financials,2021,78.607224594892,89.2003359834001,63.719540773917,89.1318858007593
3i Group PLC,Financials,2022,75.7358773325976,90.1916504638567,61.3756814487434,84.7815357658408
3i Group PLC,Financials,2023,69.6762830895458,93.744082845348,64.2308137666364,68.5178019855679
4imprint Group PLC,Communication Services,2018,33.1707199173761,33.0907507127019,41.7498549812386,21.9015151515152
4imprint Group PLC,Communication Services,2019,33.9383621169068,34.98463356974,39.2063162582443,26.6534653465347
4imprint Group PLC,Communication Services,2020,54.3914301289695,46.0869565217391,41.8420097473847,73.6829915004664
4imprint Group PLC,Communication Services,2021,48.6247695346971,45.5506180733163,41.0778754495863,59.8024467834361
4imprint Group PLC,Communication Services,2022,58.0601516372145,59.8705198647506,44.3304095855232,75.7372349480419
4imprint Group PLC,Communication Services,2023,53.3610768000069,58.3446611192276,44.3597969043233,63.5515672229167
A G Barr PLC,Consumer Staples,2008,31.2335442170041,28.4053215303215,24.7292019747992,46.5881741197445
A G Barr PLC,Consumer Staples,2011,25.9088682562865,32.7776882298159,23.0684360660369,22.8895234823435
A G Barr PLC,Consumer Staples,2012,26.9428314267454,32.7961649592855,23.9827385045703,25.3621131723637
A G Barr PLC,Consumer Staples,2013,30.598164759203,28.3655109009719,32.6831219562412,29.4433447656378
A G Barr PLC,Consumer Staples,2014,35.2751000815866,24.4847074468085,31.4585687865664,55.2417482358297
A G Barr PLC,Consumer Staples,2015,37.3132856154074,30.690980095742,29.741771346796,59.1832256996192
A G Barr PLC,Consumer Staples,2016,34.9085766738372,19.694170771757,36.3590039640987,50.4986891281308
A G Barr PLC,Consumer Staples,2017,34.8999976178532,20.8438340053763,39.4369062888335,43.4245230078563
A G Barr PLC,Consumer Staples,2018,33.4986273559192,17.8815974535495,36.5913721632825,46.5518491763339
A G Barr PLC,Consumer Staples,2019,37.3611015814205,15.6404197134534,33.4736774442373,70.5744608752459
A G Barr PLC,Consumer Staples,2020,39.6035322071803,17.0191681423134,33.0068480470714,78.8353382905544
A G Barr PLC,Consumer Staples,2021,41.3709260246279,13.9291564291564,39.3139173567703,78.0836599228657
A G Barr PLC,Consumer Staples,2022,40.9555777393116,21.5281236298936,38.8890154083023,68.068701179303
A G Barr PLC,Consumer Staples,2023,37.4548287270305,19.7666721104221,41.0792759376183,62.8084607564472
A O Smith Corp,Industrials,2016,26.670416049582,6.217277486911,27.7008616911197,49.8631535947713
A O Smith Corp,Industrials,2017,39.3386091690287,30.0546729430225,31.7224091841564,60.4650170648465
A O Smith Corp,Industrials,2018,40.1833831714003,34.7671997195451,34.621490255354,53.9750629146649
A O Smith Corp,Industrials,2019,41.3637714145513,37.7260263518825,32.9783416841503,56.723295580724
A O Smith Corp,Industrials,2020,52.1993153690189,55.9869588630255,41.0597334546259,62.259372797304
A O Smith Corp,Industrials,2021,52.1390297342183,53.1466345276103,46.3087201418239,58.5740876699538
A O Smith Corp,Industrials,2022,53.4431051455779,49.556693632928,46.095833184736,67.7398888649727
A O Smith Corp,Industrials,2023,54.2501524551625,48.4756118168929,48.5384464580463,68.6682824173053
A2A SpA,Utilities,2004,13.6978216818642,0.0,13.5024549918167,37.2380952380953
A2A SpA,Utilities,2005,12.4312397372742,0.0,14.2572944297082,31.1904761904762
A2A SpA,Utilities,2006,11.8406574151949,0.0,11.604774535809,32.2764227642277
A2A SpA,Utilities,2007,11.8254841720464,5.15837104072398,20.5171083097505,11.8604651162791
A2A SpA,Utilities,2008,46.9347970175582,52.4140575914094,55.7557787592763,26.1527777777778
A2A SpA,Utilities,2009,56.6222646037545,57.310816634346,68.1876949768947,40.4166666666667
A2A SpA,Utilities,2010,48.70077152798,52.3015789139946,61.0213493876861,26.5626477541371
A2A SpA,Utilities,2011,62.4069688830334,88.2353492371461,65.8555838101293,14.015522875817
A2A SpA,Utilities,2012,62.4624719587996,83.987817954502,66.1303385879657,21.1011571481896
A2A SpA,Utilities,2013,58.8133079593121,81.0283643371879,57.9906887283937,22.1171171171171
A2A SpA,Utilities,2014,61.0820738919904,85.3485598529327,63.1502119927317,17.1404682274247
A2A SpA,Utilities,2015,59.4591000375171,90.6806716081526,51.5604749158217,16.650641025641
A2A SpA,Utilities,2016,64.5068378496325,88.6690344541948,59.4108450134275,30.0558943089431
A2A SpA,Utilities,2017,49.9437921000238,92.4433839448028,61.6185532425799,51.1813537675607
A2A SpA,Utilities,2018,67.0451112272845,90.6663035584604,67.5820687947937,26.1910394265233
A2A SpA,Utilities,2019,80.8778286102233,93.938866542786,83.3302246786211,55.4859492359492
A2A SpA,Utilities,2020,80.5849749149166,83.5338728109107,82.897608440875,72.5654249079804
A2A SpA,Utilities,2021,78.2676709781182,83.9827837195484,82.7931925622729,62.6688012582856
A2A SpA,Utilities,2022,74.2752764869118,80.002193694148,80.2505093095552,62.2061538461538
A2A SpA,Utilities,2023,70.1352054566265,79.6987901564746,77.5226337855313,44.2734546393083
AAK AB (publ),Consumer Staples,2018,41.1825463779988,36.6252376264512,48.877555159655,32.9003208319504
AAK AB (publ),Consumer Staples,2019,57.3073011431299,63.1799447347814,57.0564446642521,51.2808174419295
AAK AB (publ),Consumer Staples,2020,66.4103444596693,64.5214555599976,63.5486268750981,73.4325342982059
AAK AB (publ),Consumer Staples,2021,69.7147577835666,73.4056124007261,65.2819245079529,73.3137685308901
AAK AB (publ),Consumer Staples,2022,70.916119306794,81.4228685245038,69.0348208206596,62.609160885023
AAK AB (publ),Consumer Staples,2023,63.9662814915419,85.0323745738358,56.2972742455121,54.0439193983255
ABN Amro Bank NV,Financials,2016,65.7199843772519,85.1739165622879,78.0115438522798,42.6114341085271
ACS Actividades de Construccion y Servicios SA,Industrials,2004,47.4996767937944,58.0687830687831,36.8693134822167,47.3492063492063
ACS Actividades de Construccion y Servicios SA,Industrials,2005,35.6509945085508,29.2139077853364,44.3492383512545,32.6786688488816
ACS Actividades de Construccion y Servicios SA,Industrials,2006,62.1151663872455,52.2574955908289,73.7121144300876,59.9378881987578
ACS Actividades de Construccion y Servicios SA,Industrials,2007,65.7405107970789,75.8862433862434,86.2928313384907,23.2199546485261
ACS Actividades de Construccion y Servicios SA,Industrials,2008,64.7205751669975,75.1201432576989,83.5412324633714,24.2304964539007
ACS Actividades de Construccion y Servicios SA,Industrials,2009,62.7551554257833,78.0178633626909,80.787008206363,16.5434782608696
ACS Actividades de Construccion y Servicios SA,Industrials,2010,63.2135797919318,65.8730158730159,84.588465426157,30.0405268490375
ACS Actividades de Construccion y Servicios SA,Industrials,2011,70.1402465343189,84.7148552281724,83.5821739557865,31.2158054711246
ACS Actividades de Construccion y Servicios SA,Industrials,2012,62.8208085276403,78.561874362148,74.8121088225381,24.2619692863595
ACS Actividades de Construccion y Servicios SA,Industrials,2013,57.6855912093235,68.6224489795918,77.986798679868,14.4034378159757
ACS Actividades de Construccion y Servicios SA,Industrials,2014,59.2745283973688,66.2522045855379,85.5181753047803,13.3478682170543
ACS Actividades de Construccion y Servicios SA,Industrials,2015,63.3290756280179,70.9601279794133,87.1969969849783,19.913475177305
ACS Actividades de Construccion y Servicios SA,Industrials,2016,61.7310754497407,77.6229470322197,84.8258477480447,7.80555555555555
ACS Actividades de Construccion y Servicios SA,Industrials,2017,61.5636758331118,74.8199279711885,85.4105571847507,10.2626948215183
ACS Actividades de Construccion y Servicios SA,Industrials,2018,62.3337573590613,71.0698001626569,88.215182916017,14.4444444444444
ACS Actividades de Construccion y Servicios SA,Industrials,2019,65.6980017801266,74.9061535186724,86.6677001169504,24.1907894736842
ACS Actividades de Construccion y Servicios SA,Industrials,2020,69.8819830418714,76.6380808079977,92.5783671973188,29.1528724440117
ACS Actividades de Construccion y Servicios SA,Industrials,2021,38.7802960905383,82.8798784715142,87.8311637702789,20.5463594071189
ACS Actividades de Construccion y Servicios SA,Industrials,2022,67.0774511699821,85.9452300820826,94.5548840484643,27.5534979423868
AECOM,Industrials,2009,43.3148595807781,68.8140020898642,33.9247657796045,20.5535226385636
AECOM,Industrials,2010,40.3234427184044,66.0,35.8598489328985,10.5261028508677
AECOM,Industrials,2011,45.1676347962524,71.1827021512252,35.184644322457,22.5008829298534
AECOM,Industrials,2012,43.4618111731303,68.6380908952728,35.0661950225375,19.78231292517
AECOM,Industrials,2013,42.7462939479706,68.6355311355311,32.200540140479,21.0310671312633
AECOM,Industrials,2014,30.2659571107188,43.995339900489,31.7607143554102,8.9853778901324
AECOM,Industrials,2015,36.5420724061934,52.0962399294787,31.3872991097237,22.0209344595601
AECOM,Industrials,2016,45.0183650235968,50.1033645023421,31.1151700542691,57.1974431989315
AECOM,Industrials,2017,49.117604296896,52.3656129118314,46.7969731881022,47.8811813854076
AECOM,Industrials,2018,55.751208069394,59.0670066187201,56.461406623003,50.1305943153655
AECOM,Industrials,2019,53.4085789514525,64.9510049523746,50.6299842161574,41.0774686299017
AECOM,Industrials,2020,51.2683091018454,67.0905933047091,48.0298404552437,33.5790013531543
AECOM,Industrials,2021,64.7458540950949,62.7121774409813,57.0012330152615,78.2633682319578
AECOM,Industrials,2022,64.3465957154348,63.5580849255125,54.1411435020837,79.5786961603947
AECOM,Industrials,2023,68.9840585794915,72.1078318898676,54.8116651776098,84.1371846320021
AES Corp,Utilities,2005,30.0243116526399,11.9496855345912,15.3625110521662,79.8115168339384
AES Corp,Utilities,2006,27.5184875431273,7.24400871459695,18.236074270557,74.0522388059702
AES Corp,Utilities,2010,33.8381152498822,15.6934609992038,21.1345035602461,81.198722672562
AES Corp,Utilities,2011,32.548130419301,15.721330511215,18.7726213180759,79.0618520946399
AES Corp,Utilities,2012,48.2077092192153,31.5867236833645,35.262336533523,93.2923691215617
AES Corp,Utilities,2013,46.2552562991701,31.5596195743255,39.4483931369177,80.086760842334
AES Corp,Utilities,2014,53.8543522536988,37.5300892714809,43.3294972743792,95.2879107965847
AES Corp,Utilities,2015,59.2166090091745,44.1865182482898,48.6883153253486,98.4545450916523
AES Corp,Utilities,2016,57.3264242422704,44.5277347720012,66.9317220321524,95.903006183963
AES Corp,Utilities,2017,60.305120016518,33.6618268510501,66.6911817634843,97.296838126757
AES Corp,Utilities,2018,65.5556542327903,43.2443718228032,71.4507001370993,95.8212746541666
AES Corp,Utilities,2019,70.9219742589976,53.0606679478952,74.3958690177831,96.7701318014502
AES Corp,Utilities,2020,71.3622607312696,53.1638395277544,74.8185109277743,97.8064515217892
AES Corp,Utilities,2021,73.2756786524139,54.4468529836177,79.3782032346704,97.3514003324339
AES Corp,Utilities,2022,72.2546460187482,54.1965256802788,76.2572244528175,97.750098629856
AES Corp,Utilities,2023,74.644653399033,55.1310501454259,82.3099401187741,97.8529061945015
AGC Inc,Industrials,2004,30.2816511137539,8.90688259109312,22.6846057571965,69.9708879184862
AGC Inc,Industrials,2005,33.5074997686034,38.2966369379413,24.0481522956327,42.1012658227848
AGC Inc,Industrials,2006,33.7668953908292,21.8613326472858,22.4804031354983,66.926298157454
AGC Inc,Industrials,2007,62.8384300997804,62.2051282051282,52.7374750474707,79.48655214478
AGC Inc,Industrials,2008,52.9869003993948,47.2934472934473,81.1778171664004,92.2164124909223
AGC Inc,Industrials,2009,66.018351962443,43.47334682861,72.3485361001005,85.4095701540957
